option,question_id,correct
Rodney Lever,1,
Lafayette Lever,1,Correct
Mortimer Lever,1,
Sebastian Lever,1,
Los Angeles Lakers,2,
Charlotte Hornets,2,Correct
New Jersey Nets,2,
Utah Jazz,2,
Houston Rockets ,3,Correct
Golden State Warriors,3,
Cleveland Cavaliers,3,
Sacramento Kings,3,
57,4,
73,4,
67,4,correct
68,4,
Jeff Hornacek,5,
Byron Russell,5,Correct
John Stockton,5,
Karl Malone,5,
Stephen Curry,6,
Harrison Barnes,6,
Andre Iguodala,6,Correct
Festus Ezeli,6,
Matt Barnes,7,
Harrison Barnes,7,
Scottie Barnes,7,Correct
Scot Barn,7,
Kevin Durant,8,
Gilbert Arenas,8,Correct
Tyler Herro,8,
Chauncey Billups,8,
16,9,
18,9,
19,9,
17,9,Correct
9,10,
7,10,
10,10,Correct
14,10,
32,11,Correct
30,11,
28,11,
40,11,
Cleveland Cavaliers,12,
Miami Heat,12,
Sacramento Kings,12,Correct
Phoenix Suns,12,
Demar DeRozan & Kyle Lowry,13,Correct
LeBron James & Dwyane Wade,13,
Blake Griffin & Chris Paul,13,
Stephen Curry & Klay Thompson,13,
Demar DeRozan & Kyle Lowry,14,
LeBron James & Dwyane Wade,14,
Blake Griffin & Chris Paul,14,
Stephen Curry & Klay Thompson,14,Correct
Stephen Curry  ,15,
Damian Lillard,15,
Luka Doncic,15,
Nikola Jokic,15,Correct
Los Angeles Clippers,16,Correct
Los Angeles Lakers,16,
New Orleans Pelicans,16,
Washington Wizards,16,
Hakeen Olajuwon,17,Correct
Michael Jordan,17,
Allen Iverson,17,
Shaquille O'Neal,17,
Philadelphia 76ers,18,
Phoenix Suns,18,Correct
San Antonio Spurs,18,
Denver Nuggets,18,
63,19,
42,19,Correct
35,19,
34,19,
Jerry Colangelo,20,
Sam Hinkie,20,Correct
Brett Brown,20,
Elton Brand,20,